,FID,X,Y,slope,aspect,elevation,uso_solo,lito,twi,curv,class,score
0,70.0,376044.7855,7351156.511,25.23096466,319.4602051,226.0545654,90.0,65.0,25.23096466,8.32e-05,0.0,0.0012395898025066062
1,88.0,378944.5845,7354970.978,20.86941719,333.4488831,174.429718,90.0,65.0,20.86941719,0.004144145,0.0,0.00845839901795284
2,36.0,373575.4802,7348143.942,19.61322403,102.1104965,99.50222015,90.0,65.0,19.61322403,0.010817055,0.0,0.01597070647434474
3,144.0,373978.0,7347581.0,34.0210762,91.68804932,35.62447357,20.0,2.0,4.305000782,-0.011585555,1.0,0.9999443590225631
4,169.0,377400.0,7354452.0,22.34081459,282.587616,9.369758606,90.0,2.0,4.801277161,-0.021547571,1.0,0.9980366222412812
5,48.0,374972.483,7349620.32,26.45514488,328.4436035,56.07284546,90.0,65.0,26.45514488,-0.009034884,0.0,0.011886807336340453
6,193.0,381050.0,7356277.0,32.71705627,107.8471451,91.51044464,90.0,65.0,5.047700405,0.006975551,1.0,0.9999918322416921
7,49.0,376322.0822,7349733.848,26.36648941,113.5745697,174.1931152,90.0,2.0,26.36648941,0.008641004,0.0,0.00043301338242539967
8,132.0,373697.0,7347730.0,30.72761917,157.1707916,151.2314453,90.0,65.0,4.432211399,-0.008130639,1.0,0.9999852655038672
9,157.0,377535.0,7352870.0,23.36314964,16.72984314,16.52991867,90.0,65.0,4.24058485,-0.0456273,1.0,0.9997220602770432
10,100.0,383738.8441,7359209.612,32.29370117,96.10282135,55.80924606,90.0,65.0,32.29370117,-0.009625508,0.0,0.0012324364219521522
11,119.0,371843.0,7346480.0,28.1687851,282.0887146,29.66653061,90.0,2.0,4.025763035,-0.008107572,1.0,0.9998290365819805
12,80.0,373134.363,7352744.014,0.275613129,325.4160156,3.626385212,40.0,2.0,0.275613129,2.7e-06,0.0,0.3204212800707289
13,121.0,372439.0,7346564.0,20.69125748,266.3990784,19.49218369,90.0,2.0,6.534352303,0.002965473,1.0,0.9921449312287939
14,186.0,381355.0,7355736.0,29.03040504,204.0003815,26.77646637,90.0,2.0,3.58451438,0.007190312,1.0,0.999847036069997
15,133.0,372376.0,7347832.0,24.72109985,317.0439758,30.01114845,30.0,65.0,4.464550495,0.00322865,1.0,0.9999475933461558
16,148.0,374437.0,7348062.0,19.92075348,100.8986053,55.11418152,90.0,2.0,4.703872681,-0.021236008,1.0,0.986707387770423
17,123.0,371658.0,7347211.0,11.79544353,271.4399719,2.482979774,30.0,2.0,7.58067131,-0.010924788,1.0,0.6809657990748681
18,199.0,380389.0,7357243.0,22.72119141,78.49642944,85.26066589,90.0,65.0,3.866227627,0.006108769,1.0,0.9996981772875112
19,185.0,379676.0,7355706.0,25.6173439,245.0981598,190.3757629,90.0,65.0,5.676669598,0.001681753,1.0,0.9995155475210368
20,192.0,379289.0,7356161.0,1.941062689,327.4280396,4.999742985,90.0,65.0,12.44157791,-0.586256087,1.0,0.0091150509733303
21,7.0,366797.0632,7343244.929,34.30587769,72.78181458,100.701828,90.0,65.0,34.30587769,-0.004039391,0.0,0.00035028768665444924
22,71.0,378293.7483,7351189.584,0.282645166,94.78007507,1.868806601,90.0,2.0,0.282645166,4.53e-05,0.0,0.17522631965195423
23,66.0,380220.4106,7350903.876,1.31723094,76.09764099,0.841397822,90.0,2.0,1.31723094,-0.00033341,0.0,0.16548305979135922
24,39.0,374145.88,7348609.367,17.54268265,344.5397644,158.1348572,90.0,65.0,17.54268265,0.004328067,0.0,0.02553570543233442
25,143.0,373481.0,7348487.0,15.43968296,347.2944641,34.91998672,90.0,65.0,7.144595146,-0.006549432,1.0,0.9902895539861416
26,90.0,380002.575,7356693.594,5.314119816,350.1022339,179.3913116,90.0,65.0,5.314119816,0.004841255,0.0,0.29744225650502665
27,171.0,377535.0937,7354527.194,30.94521713,17.4091835,68.98222351,90.0,2.0,2.814144611,0.007810368,1.0,0.9998415908530238
28,56.0,380268.0357,7350189.499,30.40385818,299.4776917,84.17709351,90.0,65.0,30.40385818,0.003612251,0.0,0.0026546499332790884
29,136.0,373085.0,7348103.0,23.18883133,328.9649658,29.56752968,30.0,65.0,3.150353909,-0.004177365,1.0,0.9999449393413794
30,75.0,376600.9034,7351808.753,22.70939827,346.9830017,155.0422516,90.0,65.0,22.70939827,0.001116354,0.0,0.007452941588706681
31,10.0,366935.9697,7343608.732,39.03185654,121.2084503,84.75715637,90.0,65.0,39.03185654,-0.000966067,0.0,0.00016056315678891013
32,131.0,372536.0,7347728.0,34.45750427,60.7914505,25.57762909,30.0,65.0,5.244135857,-0.00908362,1.0,0.9999897700065681
33,68.0,379770.0862,7351065.72,3.649637699,295.8343811,0.233454078,90.0,2.0,3.649637699,-0.007847522,0.0,0.36055825331780417
34,147.0,374080.0,7347856.0,26.80047989,180.6449738,49.94193268,90.0,65.0,6.540839672,8.86e-05,1.0,0.9999075169384386
35,91.0,382024.3407,7356860.107,10.51165295,22.48119164,105.1273117,90.0,65.0,10.51165295,-0.001718481,0.0,0.0998413313418771
36,13.0,368893.8903,7343820.399,31.9313755,180.1389771,89.39797974,90.0,2.0,31.9313755,0.008568201,0.0,0.00038679821074895636
37,177.0,380188.0,7355077.0,33.86004257,277.4851379,25.91223907,90.0,65.0,4.31979847,-0.01537165,1.0,0.9999984195528857
38,150.0,375221.0,7348759.0,21.73439217,117.8452606,36.08774567,90.0,2.0,5.168181896,-0.011900878,1.0,0.9931245636800936
39,40.0,373877.1058,7348747.193,27.02153969,316.3155518,76.94659424,90.0,65.0,27.02153969,-0.000612345,0.0,0.007301319701065475
40,16.0,369383.3704,7343926.232,39.9728241,163.3899231,62.14968491,90.0,2.0,39.9728241,0.00240825,0.0,7.208161987572471e-05
41,127.0,373849.0,7347447.0,28.57059479,139.2436371,52.26003647,20.0,2.0,4.856287003,-0.014100105,1.0,0.9995298406992978
42,179.0,380890.0,7355173.0,26.71403694,89.91781616,65.00498962,90.0,2.0,5.186469078,-0.000320228,1.0,0.9986987143115464
43,77.0,378953.0539,7352290.039,32.47265625,160.2980499,50.87981415,90.0,2.0,32.47265625,0.005197478,0.0,0.0005604120279113522
44,197.0,380392.0,7357192.0,34.77697372,85.4450531,87.62624359,90.0,65.0,4.276698589,-6.15e-05,1.0,0.9999948221918213
45,3.0,369151.8595,7342755.449,58.99652863,101.1867218,90.68728638,90.0,2.0,58.99652863,0.01293005,0.0,4.7542338620636963e-07
46,142.0,373418.0,7348474.0,26.60417175,307.3996887,35.62966919,20.0,65.0,3.687173843,0.000300057,1.0,0.9999786896134382
47,135.0,373058.0,7348081.0,28.6667614,323.7924194,30.54110527,30.0,65.0,3.599532127,-0.005735134,1.0,0.9999918110346668
48,59.0,377367.7048,7350461.978,0.529711306,123.2638474,4.368452072,90.0,2.0,0.529711306,-2.95e-05,0.0,0.19245675723074188
49,173.0,377584.7938,7354582.006,38.0387764,323.5971985,45.69155884,90.0,2.0,4.157443047,0.003729326,1.0,0.999996473011692
50,31.0,378163.0065,7346989.093,27.75332451,318.9701843,95.40084839,90.0,2.0,27.75332451,-0.000471205,0.0,0.001790684455169858
51,97.0,383484.8436,7358225.36,14.46354485,121.6967773,91.93870544,90.0,65.0,14.46354485,0.005186061,0.0,0.06626065969933265
52,92.0,381558.3281,7356922.195,12.333498,287.2422485,87.43166351,90.0,65.0,12.333498,-0.000866814,0.0,0.18702907379525266
53,158.0,376851.0,7353049.0,26.42233276,88.6470108,8.162531853,30.0,2.0,4.611409187,-0.018365832,1.0,0.9988610928224743
54,81.0,378714.9284,7352792.748,21.95036888,179.4349213,25.04052734,90.0,2.0,21.95036888,-0.018151216,0.0,0.012151965070573768
55,176.0,380247.0,7355075.0,65.80791473,335.5787048,183.3863068,90.0,65.0,3.111852407,0.009216893,1.0,0.9999995386381416
56,25.0,371328.0618,7346102.434,34.88432693,335.7427979,76.21453857,90.0,2.0,34.88432693,-0.003104399,0.0,0.0004187791069021507
57,47.0,375938.4356,7349522.181,16.36772537,167.9672394,99.61725616,90.0,2.0,16.36772537,0.009234051,0.0,0.01582856320047574
58,87.0,379277.9602,7354447.102,30.43406296,155.3156128,226.0552368,90.0,65.0,30.43406296,0.000543425,0.0,0.000188849040960337
59,65.0,375116.5879,7350900.973,25.43123436,306.1756897,82.39375305,90.0,65.0,25.43123436,0.001638023,0.0,0.009689970115459003
