slope,aspect,elevation,uso_solo,lito,twi,curv,class
13.45218,127.0424,59.2254,2230,2741,6.376712322,0.008905032,0
15.6565,110.6938,203.501,1320,2741,5.476122856,0.06583747,0
1.895332,215.4727,10.0025,2110,2790,10.59453773,-0.02011573,0
1.016567,39.76366,5.45029,1620,2790,10.74180508,-0.003531096,0
11.09016,178.2573,68.4823,1210,2742,7.579782963,-0.000889505,0
13.06354,314.873,63.2392,2230,2741,7.906288624,-0.01235395,0
31.98951,325.5445,136.929,2230,2741,6.789985657,-0.004726917,1
25.80331,283.8781,105.611,1210,2741,5.964076996,0.02328322,0
17.25232,215.2256,37.7382,2230,1507,6.091009617,-0.02194346,1
26.27302,38.05049,61.7193,2230,2742,7.540516376,-0.0279795,1
1.559605,249.1767,17.6245,2230,2790,9.183581352,0.001916833,0
6.862944,117.9352,52.2084,2230,2742,8.437595367,0.00503411,0
50.76429,336.8874,157.279,2230,2742,8.928602219,-0.007798881,1
16.86333,226.5264,202.83,1420,2741,6.522855759,9.75E-03,0
15.89304,240.2156,179.624,2230,2741,7.929687977,-0.03582488,1
20.46587,223.5077,47.0366,2230,1507,6.209899426,-0.003763287,0
3.686611,31.08219,59.2903,2230,1507,6.899806499,0.01900206,0
21.2517,65.54922,66.7124,2300,1507,6.268550873,-0.005589582,1
1.706896,178.4718,47.5128,2230,2790,9.923311234,-0.001382178,0
38.88604,265.4132,167.874,2230,2741,7.191354752,-0.01623944,1
8.910439,239.26,33.4683,1420,2742,7.412029743,-0.01315951,0
50.44082,323.1502,162.959,2230,2742,8.807444572,-0.01608218,1
6.791748,318.4247,88.823,1310,2773,9.885742188,-0.004538853,0
14.85248,189.5728,34.8098,1210,2773,6.139176846,0.01542203,0
9.610989,188.2836,104.424,2230,2773,5.820966244,0.06620347,1
47.32556,332.2365,150.938,2230,2742,8.807444572,-0.02112239,1
20.16253,302.8282,227.203,2230,2741,5.29067421,0.04044258,1
15.27053,70.06862,44.5833,2230,2741,8.342761993,-0.02489547,1
4.335078,11.1821,16.1941,1420,2790,6.846112728,-0.001994578,0
25.26404,215.4213,95.7101,2230,2741,6.17722702,-0.003167848,1
14.78729,321.3254,118.921,2230,2773,6.718594551,-0.0157767,0
35.92639,355.0102,126.454,2230,2741,5.942304134,0.001232411,1
7.522981,282.019,36.6876,2230,2741,6.988614082,0.005931224,1
12.80721,252.2655,193.453,2230,2741,5.789138317,0.04384825,1
3.637211,15.31713,7.43303,1420,2790,8.086122513,-0.004052092,0
43.19365,317.0813,147.953,2230,2742,9.051205635,-0.04679997,1
12.91217,312.8326,100.764,2230,2741,7.04143095,0.009373446,1
3.131347,351.218,31.2386,1220,2790,6.621311188,-0.00434075,0
39.27149,271.6897,167.579,2230,2741,6.671606064,-0.03920427,1
14.37866,328.0992,94.4537,2220,1507,5.702804565,0.01441058,0
3.355832,70.25392,12.3247,2210,1507,10.37694359,-0.0020442,0
6.620561,151.0808,3.65331,1420,2790,9.286734581,-0.01133752,0
37.04007,136.5417,114.998,1210,2741,6.570013046,-0.03834293,0
1.325649,45.39098,6.47867,1420,2790,10.10988522,-0.002200882,0
36.05959,270.452,177.052,2230,2741,7.957380295,-0.01721389,1
15.40969,290.9209,104.871,2230,2741,7.569072247,-0.001120002,1
31.69032,36.39257,210.798,1310,2741,5.904617786,0.01410478,1
5.654714,260.6785,13.0405,2220,1507,8.056016922,-0.008311972,0
35.92639,355.0102,126.454,2230,2741,5.942304134,0.001232411,1
5.862711,282.3798,59.6822,1210,2773,7.878142357,-0.01755536,0
2.836833,213.2234,23.9087,1320,2790,8.194330215,-0.002011891,0
24.59159,330.4616,257.71,2230,2741,5.946938992,0.0176606,1
5.04995,117.8571,21.1051,1210,1507,8.272636414,0.001100075,0
10.14728,63.95642,140.238,1420,2773,5.989078999,0.00649462,0
19.46933,317.9721,73.0167,1620,2773,6.555927753,-0.01170918,0
4.519843,210.558,49.8421,1210,2790,8.445635796,-0.0011528,0
28.05032,349.733,77.6538,2230,2741,6.00220871,-0.0161512,1
14.43256,305.2127,51.5113,2220,1507,6.650909424,0.05686868,1
11.61885,83.92297,63.8611,2230,2742,7.17021513,-0.004328173,1
12.3136,323.4344,68.7689,2230,2773,7.080787659,0.0104007,1
40.88565,34.56117,237.223,2230,2741,5.433222771,0.03337105,1
21.41406,174.6944,105.236,2230,2741,7.182981968,-0.01241091,1
7.306217,290.6595,13.4335,2230,2742,7.88677597,-0.01185739,0
29.07754,301.2258,95.7215,2230,2742,9.26004982,-0.0347829,1
26.27302,38.05049,61.7193,2230,2742,7.540516376,-0.0279795,1
1.125634,337.7617,4.40045,2230,1507,7.990959167,0.001584559,0
2.755594,284.3432,50.8483,1320,2790,6.751934528,-0.000116208,0
9.614434,191.5358,22.5587,1210,2790,7.173326969,-0.04404977,0
19.00039,311.2547,187.198,2230,2741,7.290836334,-0.003337661,1
38.81754,3.417855,153.271,2230,2773,5.963084698,-0.03011038,1
21.34364,199.6523,56.4303,2230,2773,7.90221405,0.01615063,1
1.297914,231.1807,35.0409,1420,2790,10.23553944,-0.01648206,0
44.82198,17.85426,118.768,2230,2741,6.3703022,-0.0194646,1
13.86985,96.81607,92.3641,2300,1507,7.867459774,-0.02144212,1
18.16362,162.6687,125.632,2230,2741,7.844244957,0.002095815,1
34.22512,9.948663,125.395,2230,2741,5.942304134,-0.003734629,1
1.969738,153.1679,108.151,1210,2741,6.570758343,0.01188683,0
2.554928,55.07404,3.31679,1410,1507,7.914484024,-0.000250186,0
13.67644,229.6878,36.9489,2230,2741,9.525164604,-0.04332083,1
21.46828,325.7281,91.4278,2230,2742,7.382948875,-0.02238017,1
3.570761,210.5067,6.56721,1420,2790,8.843166351,0.000358601,0
34.9143,313.0522,135.715,2230,2741,6.775972366,-0.007004367,1
5.197418,170.6774,35.3491,1310,2741,9.191123009,-0.001299565,0
2.364737,333.6417,0.930537,2300,1507,10.82358265,-0.009167818,0
25.51646,281.4275,159.048,2230,2741,7.317903519,0.007281224,1
0.9939538,140.5489,7.9504,2230,2790,8.201475143,-0.00488108,0
3.452497,240.7166,9.06238,1210,1507,7.054574966,0.01005615,0
21.2517,65.54922,66.7124,2300,1507,6.268550873,-0.005589582,1
8.177473,68.11941,34.7996,2230,2773,8.16990757,-0.01203558,0
1.746859,76.17186,4.04443,1320,1507,8.703187943,0.002630608,0
8.900415,200.5309,40.5449,1210,1507,9.546416283,-0.02550423,0
23.41867,338.2579,81.8828,1220,2741,6.735372543,0.01794915,1
31.69032,36.39257,210.798,1310,2741,5.904617786,0.01410478,1
5.813162,343.5854,9.52768,1420,2790,6.59046793,0.00810807,0
28.89417,61.79618,62.9674,1220,2773,6.200160027,0.009095008,1
37.89099,336.345,177.722,2230,2773,6.217178345,-0.0212111,1
7.04513,99.54131,37.7653,1420,2742,9.468262672,-0.01869154,1
16.2957,216.5744,106.033,2230,2773,9.18202877,-0.0158732,1
3.906067,50.09582,19.377,2210,1507,7.014248848,-9.23E-05,0
14.11438,142.3276,126.064,2110,2773,9.590363503,-0.009964049,0
