twi,curv,slope,aspect,elevation,lito,uso_solo,class
9.826040268,-0.009911652,3.353859,273.8779,14.5587,2309,7,0
9.907863617,-0.01171208,1.282949,117.9577,5.32116,1512,19,0
6.834794998,-0.04310197,32.25059,263.9916,42.1554,797,7,0
6.031248569,0.03894906,40.15623,282.856,319.35,797,7,1
7.15464735,-0.02382872,9.13221,126.0186,28.57,1672,7,1
8.110044479,0.005730849,36.3112,283.2855,153.329,161,28,0
6.404429913,-0.04715113,25.39192,231.3564,50.7445,1641,7,1
8.549510956,-0.004726669,2.331249,212.0032,3.4593,2309,7,0
4.994660378,0.1064868,59.53125,5.65633,193.007,1672,25,1
8.002276421,-0.01594839,7.261885,130.5685,22.0538,1641,7,1
6.003679752,-0.03155041,17.82415,143.1551,34.4806,2309,7,1
6.712393284,-0.02704713,15.69904,155.4487,58.6394,1641,28,1
6.280842781,-0.04741389,27.13776,132.6174,38.8358,1641,7,1
5.932366848,0.01944786,23.93751,338.7491,54.9125,1641,28,0
9.484591484,-0.003762568,1.12586,257.5241,6.7171,2309,7,0
5.383065701,0.03103508,14.72341,215.5486,41.0461,2309,29,0
7.684950352,-0.003196933,3.158608,37.44155,2.40734,2309,29,0
8.384215355,-0.000100599,2.049418,281.3015,6.42542,2309,7,0
6.91246748,0.01435769,7.729076,93.62579,30.6526,845,28,0
7.943035603,-0.01793077,31.3334,56.84476,97.8508,1672,7,1
9.940934181,-0.001759901,1.982423,176.5365,3.7354,161,7,0
6.783065796,-0.02367083,36.09482,171.9834,80.1622,1641,25,0
10.65534687,-0.04257428,5.095133,309.2878,11.1532,2309,7,1
10.13521862,0.003265218,4.244031,153.4544,29.1605,2309,7,0
8.034651756,-0.02125335,3.395345,0.7095351,20.202,1641,7,1
8.943473816,-0.003482667,3.354042,349.1067,38.3989,1641,7,0
5.964134693,-0.03219822,36.33124,68.17409,57.5746,1672,7,1
6.742555618,-0.01527619,26.19225,241.1053,28.499,2309,7,1
9.39040184,-0.08342133,15.82587,321.4578,54.8524,1641,7,0
7.583611488,0.00465751,1.451912,216.4527,13.958,2309,7,1
9.352298737,-0.06400681,25.58154,191.6128,48.6947,2309,7,0
8.749258995,-0.03347997,8.11501,192.9163,63.2006,1641,7,1
6.877434731,0.03239679,39.36409,308.0173,63.4208,161,28,1
9.028896332,-0.03428864,14.61229,186.6842,24.2365,1641,7,1
6.853895664,-0.03991456,28.71067,163.844,95.456,797,7,1
6.246629238,0.01867972,10.71025,80.9223,36.218,797,7,1
8.807032585,-0.0325255,5.163113,158.3992,19.8563,1641,7,1
7.7723279,0.002465911,3.755695,242.8056,24.9205,2309,7,0
6.840398788,0.01013265,3.004337,324.636,24.1328,1641,7,0
6.756208897,0.00140301,6.192181,340.6332,19.4635,2309,7,0
7.50910902,-0.0383253,11.84552,328.5166,12.6858,1512,7,1
5.788492203,-0.005704356,36.49205,184.1265,95.4614,1641,19,0
5.589608669,-0.01959934,44.91875,173.9366,71.3802,797,7,1
10.42314434,-0.002807057,0.990377,313.3113,26.1208,2309,7,0
6.469695568,-0.07068358,22.75963,345.9509,45.1885,845,7,1
7.255065918,0.003517339,7.579683,145.2003,34.7349,1641,7,1
6.63406086,0.003419554,5.865421,327.6479,31.8444,2309,7,1
5.590322018,-0.01163066,3.480465,350.2462,27.3442,2309,7,1
6.294930935,-0.04761754,24.67023,352.4428,48.7675,161,29,0
8.418043137,-0.01857919,24.03301,118.7058,63.8929,797,7,1
7.150722027,8.70E-05,5.4981,328.6972,39.8345,1672,23,0
8.108057022,-0.005784388,5.122325,84.77036,8.52831,2309,7,0
7.584751606,-0.005761444,3.670324,354.0385,6.7073,2309,17,0
6.875240326,-0.06341659,21.7705,334.7102,31.9171,1672,7,1
9.541957855,-0.00573026,2.830186,41.50517,5.49917,1512,7,0
12.60357952,-0.01287534,2.177789,135.8631,33.9113,2309,28,0
7.555213451,-0.002463516,4.786279,32.29996,20.7876,2309,25,1
8.030137062,-0.03988088,18.92175,136.5349,28.6622,845,7,1
6.266205311,-0.05652651,27.17633,23.20121,57.93,1641,17,0
6.272455692,-0.01904705,23.45383,323.3064,26.3943,161,1,1
6.404860973,0.000403823,49.66371,313.2198,117.55,1641,22,0
8.777584076,-0.002640668,1.163154,276.0088,3.11057,2309,7,0
6.900195599,0.006215896,7.068935,252.4997,22.8428,2309,7,0
7.504653454,-0.04801308,25.27556,169.8293,21.7761,1641,7,1
11.12159252,-0.01104044,4.577895,210.9626,-0.0489471,2309,13,0
10.30303097,-0.006213313,2.603291,328.2122,4.23053,2309,5,0
5.060347557,0.03078202,31.93971,275.528,90.3846,797,7,1
9.696670532,-0.04236577,4.732845,202.2309,29.7327,1641,29,0
6.565923214,0.005725313,6.569026,302.0426,54.7845,1641,7,1
5.498889923,-0.05054823,56.87533,207.4098,54.1023,797,28,1
6.448325634,-0.05096713,41.17999,51.93137,46.1676,161,25,0
7.272695065,-0.05196895,38.20121,129.9958,37.714,2309,25,0
9.995106697,-0.000309243,0.277527,15.77574,3.45233,161,8,0
6.001521111,0.002134302,18.50261,320.7368,61.3268,1641,29,0
7.690626621,-0.04973449,24.79021,27.08678,30.3649,1641,7,1
6.199061871,0.02717673,25.81364,285.3217,57.7546,1641,7,1
10.4154892,-0.06488782,32.12398,168.7457,67.1029,1672,28,1
11.83518314,-0.06999113,13.21813,129.5824,53.3346,1672,7,1
6.424280167,0.002490844,5.818542,343.5177,36.6074,1641,7,0
8.520208359,-0.01492746,5.921654,357.8347,63.8882,1641,7,1
6.90785265,-0.005274929,45.34387,166.1621,92.8222,161,25,0
7.928444862,-0.00820688,3.453212,32.18298,3.69347,2309,12,0
5.485411167,-0.007443026,51.67798,202.7265,69.2528,2309,29,1
7.728321075,0.003438396,0.2630524,347.3643,6.6341,1512,7,0
6.365702152,0.000109884,3.675292,298.456,29.4433,2309,7,0
6.292652607,0.007099521,6.173962,321.7625,32.8605,1641,7,0
8.093372345,-0.001121208,5.838259,67.49918,3.09269,2309,12,0
6.635520458,-0.03221375,33.32647,3.077314,80.1566,797,28,1
7.355271816,0.007236253,2.213048,123.2823,4.12353,2309,29,0
7.763065338,-0.03487367,15.3799,136.1011,55.5934,1641,28,1
10.07226753,-0.01985114,4.010532,265.8946,23.097,1672,23,0
11.73183727,-0.07401723,10.09439,44.78651,92.8594,797,7,1
8.937231064,-0.04294407,24.19333,89.81654,39.2562,797,7,1
8.206635475,0.00370439,1.604933,103.8554,4.70483,2309,8,0
9.457595825,-0.04747187,6.963343,257.9049,28.4782,1641,7,1
4.681092739,0.1498876,27.42882,330.9795,110.886,797,28,1
7.687080383,-0.000432239,3.539956,76.84367,41.8837,2309,7,1
